[00:00:00.000 --> 00:00:05.000]  Also ich weiß jetzt nicht wie viel Zeit sie haben.
[00:00:05.000 --> 00:00:09.000]  Wenn sie eine halbe Stündchen brauchen.
[00:00:09.000 --> 00:00:17.000]  Okay, also generell wollten wir erst mal so nach Statistiken fragen, wie viele Hunde denn hier zurückgegeben werden.
[00:00:17.000 --> 00:00:18.000]  Wissen Sie das?
[00:00:18.000 --> 00:00:24.000]  Wir müssen hier einen Unterschied machen zwischen Abgabetieren und Tieren, die zurückgegeben werden.
[00:00:25.000 --> 00:00:29.000]  Wenn wir einen Hund vermitteln, kommt er in der Regel nicht wieder zurück.
[00:00:29.000 --> 00:00:36.000]  Wir klären die Leute, bei uns ist es so, dass Menschen kommen, weil sie sich für einen Hund interessieren.
[00:00:36.000 --> 00:00:42.000]  Dann führen wir mit denen erst mal ein längeres Gespräch, die müssen uns einen Fragenbogen ausfüllen.
[00:00:42.000 --> 00:00:46.000]  Wir informieren die direkt mal über alles, was passieren kann.
[00:00:46.000 --> 00:00:50.000]  Hohe Kosten, fragen, was passiert mit dem Hund, wenn ihr ihn irgendwann nicht mehr behalten könnt.
[00:00:50.000 --> 00:00:53.840]  Wie lange ist er alleine, was macht ihr im Urlaub und so weiter.
[00:00:53.840 --> 00:00:59.040]  Und wenn man da irgendwie einen Konsens gefunden hat, die Leute sich hier in einen Hund verliebt haben,
[00:00:59.040 --> 00:01:05.440]  dann kommen die, weiß ich nicht, vier, fünf, sechs, sieben, acht Mal, gehen mit dem Hund Gassi und lernen ihn näher kennen.
[00:01:05.440 --> 00:01:10.480]  Und wenn sie den Hund dann immer noch haben möchten, dann machen wir eine zweiwöchige Vorbezahlung.
[00:01:10.480 --> 00:01:16.000]  Sprich, die Leute, die nehmen den Hund für zwei Wochen mit, wir machen so eine Art Pflegevertrag,
[00:01:16.000 --> 00:01:23.500]  da hat noch niemand was bezahlt oder wie auch immer. Und dann probieren die zwei Wochen einfach mal das Leben mit dem Hund aus.
[00:01:23.500 --> 00:01:29.500]  Und wenn das passt, wird ein ganz normaler Schutzvertrag gemacht und der Hund bleibt dort.
[00:01:29.500 --> 00:01:35.500]  Und in der Regel kommt dieser Hund auch nicht wieder. Es sei denn, irgendjemand stirbt oder weiß ich nicht,
[00:01:35.500 --> 00:01:41.500]  das Kind entwickelt eine hochgradige Allergie gegen Hunderhabe, dann kommt der Hund natürlich wieder.
[00:01:42.500 --> 00:01:54.500]  Aber von Tieren auch generell, sei es Hundekatzen oder Kleintiere, was wir vermitteln, kommt in der Regel wirklich nur dann zurück, wenn einer dieser Fälle, die ich eben erwähnt habe, eingetreten sind.
[00:01:54.500 --> 00:02:04.500]  Wir machen Vorkontrollen, wir machen Nachkontrollen, das heißt nach acht, neun, zehn Wochen fahren wir zu den Leuten, schauen, wie das vor Ort funktioniert.
[00:02:04.500 --> 00:02:10.100]  Wenn es Probleme gibt, unterstützen wir sie da natürlich. Wir arbeiten mit verschiedenen Hundeschulen zusammen.
[00:02:10.100 --> 00:02:19.500]  Genau, und das ist einfach auch so ein ganz wichtiger Punkt und Ziel für uns, dass Tiere, die wir einmal vermittelt haben, später auch nicht wieder zurückkommen.
[00:02:19.500 --> 00:02:23.500]  Das heißt, die Leute, die es nicht so ernst meinen, werden dann schon im Prozess sozusagen abgeschreckt.
[00:02:23.500 --> 00:02:24.500]  Ja.
[00:02:24.500 --> 00:02:31.500]  Was heißt abgeschreckt? Also, da müsst ihr sie einfach vor Augen halten, was kann passieren.
[00:02:31.500 --> 00:02:43.200]  Und die Abgabetiere, sagen wir mal vor allen Dingen Hunde, die wir bekommen, die sind tatsächlich nach wie vor leider über Ebay Kleinanzeigen vermittelt,
[00:02:43.200 --> 00:02:50.700]  über irgendwelche dubiosen Tierschutzorgas im Ausland, die nur mit Pflegestellen und nicht mit deutschen Tierheimen zusammenarbeiten.
[00:02:50.700 --> 00:02:57.700]  Da kriegen wir leider häufiger mal einen Hund abgegeben, weil die Leute einfach nicht mehr mit klarkommen,
[00:02:57.700 --> 00:03:03.700]  weil der Hund schwieriger ist als erwartet, größer geworden ist als erwartet. Oder wie?
[00:03:03.700 --> 00:03:13.700]  Ja, und was ist so dann der Hauptgrund, warum Hunde abgegeben werden?
[00:03:13.700 --> 00:03:21.700]  Der häufigste Grund ist, dass die Besitzer nicht mehr mit klarkommen, dass es einen Beißvorfall gab, dass er die nicht akzeptiert.
[00:03:21.700 --> 00:03:28.700]  Achso, ja. Ist diese Praxis, die Sie hier machen, mit dieser Testphase Standardpraxis oder?
[00:03:28.700 --> 00:03:34.700]  Bei uns ist es Standard, aber ich glaube, das Tierheim Gernsheim macht es ähnlich.
