[00:00:00.000 --> 00:00:02.000]  Soll ich mit abnehmen?
[00:00:02.000 --> 00:00:04.000]  Ja, vielleicht besser.
[00:00:04.000 --> 00:00:06.000]  Sicher ist sicher.
[00:00:06.000 --> 00:00:08.000]  Okay.
[00:00:08.000 --> 00:00:10.000]  Wenn es Ihnen nichts tut.
[00:00:10.000 --> 00:00:12.000]  Nein, nein.
[00:00:12.000 --> 00:00:14.000]  Vielen Dank.
[00:00:14.000 --> 00:00:16.000]  Ja, klar.
[00:00:16.000 --> 00:00:18.000]  Ich kann mir vorstellen, dass die Wahrscheinlichkeit,
[00:00:18.000 --> 00:00:20.000]  dass die Person relativ friedlich da ist,
[00:00:20.000 --> 00:00:22.000]  relativ beliebt ist.
[00:00:22.000 --> 00:00:24.000]  Da werden Beweise mit
[00:00:24.000 --> 00:00:26.000]  mit oder mit Exeln
[00:00:26.000 --> 00:00:28.000]  also ohne Transparenz zu verschieben.
[00:00:29.000 --> 00:00:33.000]  Dann mache ich das jetzt mal hier auf einmal so.
[00:00:33.000 --> 00:00:35.000]  Also ich weiß jetzt nicht, wie viel Zeit Sie haben, wenn Sie...
[00:00:35.000 --> 00:00:37.000]  Halbe Stündchen.
[00:00:37.000 --> 00:00:39.000]  Okay, also so lange brauchen wir nicht.
[00:00:39.000 --> 00:00:48.000]  Okay, also generell wollten wir erstmal so nach Statistiken fragen, wie viele Hunde denn hier zurückgegeben werden. Wissen Sie das?
[00:00:48.000 --> 00:00:54.000]  Wir müssen hier einen Unterschied machen zwischen Abgabetieren und Rettieren, die zurückgegeben werden.
[00:00:54.000 --> 00:00:59.000]  Wenn wir einen Hund vermitteln, kommt er in der Regel nicht wieder zurück.
[00:00:59.000 --> 00:01:06.000]  Wir klären die Leute, bei uns ist es so, Menschen kommen, weil sie sich für einen Hund interessieren.
[00:01:06.000 --> 00:01:11.000]  Dann füllen wir mit denen erstmal ein längeres Gespräch, die müssen uns einen Fragenbogen ausfüllen.
[00:01:11.000 --> 00:01:15.000]  Wir informieren die direkt mal über alles, was passieren kann.
[00:01:15.000 --> 00:01:20.000]  Hohe Kosten, fragen, was passiert mit dem Hund, wenn ihr ihn irgendwann nicht mehr behalten könnt.
[00:01:20.000 --> 00:01:23.000]  Wie lang ist er alleine, was macht ihr im Urlaub und so weiter und so fort.
